rare_word,translation
percusionista,percussionist
notas,notes
esposa,wife
jóvenes,youths
raíces,roots
melodías,melodies
premio,award
sangre,blood
talento,talent
famoso,famous
enseñando,teaching
críticos,critics
discos,albums
música,music
timbal,timpani
carrera,career
persona,person
precisión,precision
símbolo,symbol
bordillo,curb
tocaba,played
terraza,terrace
presentaciones,performances
atavío,elegant attire
evolución,evolution
fuerza,strength
veinte,twenty
velamen,veil
bordón,bass string
técnica,technique
disco,album
humilde,humble
cine,cinema
mezclaba,mixed
sonido,sound
músico,musician
emoción,emotion
legado,legacy
pasión,passion
vida,life
ritmos,rhythms
alegría,joy
experiencias,experiences
conciertos,concerts
esencia,essence
músicos,musicians
altas,high notes
corazón,heart
teatro,theater
interpretaciones,performances
flamenco,flamenco
lanzó,launched
arte,art
dedicado,dedicated
sierra,sierra
artistas,artists
ganó,won
conoció,met
jazz,jazz
actuó,acted
premios,awards
treinta,thirty
abuelo,grandfather
profunda,profound
película,film
musicales,musicals
gira,tour
arcoíris,rainbow
primera,first
logrado,achieved
actuaciones,performances
trabajó,worked
júbilo,joy
coloridas,colorful
papeles,roles
recibió,received
ganado,won
ejemplo,example
guitarra,guitar
noches,nights
baluarte,fortress
películas,films
